time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.7,37.934827,128.181946,6987.3318216,112.433,7.778,351.831,1.0,37.957164,128.181878,6962.453740800001,0.112,-3.644,180.013,1.0,1680.9777920622766,1723.1930317487258,2486.675085699016,11.570492953119471,-4.219913082867961,-175.78008691713205,False,False,1481365.4863115768,1552975.459310899,False
0.7166,37.93508,128.181931,6987.4055832,110.606,7.668,351.152,1.0,37.956905,128.181878,6960.6023856,0.116,-3.734,180.013,1.0,1698.4760710882108,1740.4293333244293,2429.700188197662,12.034341949348432,-4.367793509747688,-175.63220649025232,False,False,1510933.5229921108,1582807.3235328028,False
0.7333,37.935331,128.181914,6987.5022048,108.835,7.541,350.473,1.0,37.956647,128.181878,6958.7077488,0.12,-3.824,180.014,1.0,1675.520719507366,1723.5241756164276,2373.06307211851,12.517053046607689,-4.520138559187097,-175.4798614408129,False,False,1472208.8292459426,1553509.4033119127,False
0.75,37.935583,128.181894,6987.6158952000005,107.121,7.397,349.797,1.0,37.956389,128.181878,6956.7695256,0.125,-3.914,180.014,1.0,1683.0925495631561,1723.6979443518558,2316.319150898855,13.017531123941644,-4.677282945521079,-175.32271705447891,False,False,1484925.3686161658,1553789.905549632,False
0.7666,37.935833,128.181873,6987.7420824,105.46,7.237,349.123,1.0,37.956132,128.181878,6954.7883256,0.129,-4.005,180.014,1.0,1680.1907501080398,1727.5678795433016,2259.9146625567746,13.533241011848183,-4.84050943303917,-175.15949056696084,False,False,1480046.8192666767,1560448.564148115,False
0.7833,37.936084,128.181849,6987.8755848,103.849,7.063,348.452,1.0,37.955874,128.181878,6952.7635392,0.134,-4.096,180.015,1.0,1677.8952614829273,1724.0547152179186,2203.293987977631,14.067691247946723,-5.009374965034163,-174.99062503496586,False,False,1476193.9043571095,1554365.649094265,False
0.8,37.936333,128.181823,6988.010916,102.284,6.873,347.783,1.0,37.955617,128.181877,6950.6951664,0.138,-4.187,180.015,1.0,1665.4322889153318,1717.5997173292349,2147.01460149948,14.616415186290467,-5.184066547451512,-174.8159334525485,False,False,1455361.331730272,1543237.4292383103,False
0.8166,37.936583,128.181795,6988.1428944,100.761,6.67,347.116,1.0,37.955359,128.181877,6948.5829023999995,0.143,-4.278,180.016,1.0,1683.0451393031483,1734.8191469585577,2090.5215025567854,15.184895066570752,-5.365363893381909,-174.63463610661807,False,False,1484850.7419813448,1572941.0568468298,False
0.8333,37.936831,128.181764,6988.266033600001,99.277,6.453,346.451,1.0,37.955102,128.181877,6946.427052000001,0.148,-4.37,180.016,1.0,1661.1582944288289,1717.9773423130894,2034.3728973412756,15.772623885899298,-5.554674772916791,-174.4453252270832,False,False,1448254.9186732513,1543844.2532000686,False
0.85,37.93708,128.181731,6988.375456800001,97.828,6.222,345.79,1.0,37.954845,128.181877,6944.2273104000005,0.153,-4.461,180.017,1.0,1668.8488332656807,1718.1768313209295,1978.1250251805864,16.376148388388412,-5.7507589699588255,-174.2492410300412,False,False,1461060.7663195396,1544165.4185975492,False
0.8666,37.937327,128.181695,6988.4653728,96.411,5.979,345.13,1.0,37.954589,128.181877,6941.9836776,0.158,-4.553,180.017,1.0,1667.2965629272037,1722.0466192975969,1922.2255819549107,17.001374959636724,-5.95633696270711,-174.0436630372929,False,False,1458472.3483226025,1550799.883749077,False
0.8833,37.937574,128.181657,6988.5306,95.024,5.723,344.473,1.0,37.954332,128.181877,6939.6958488,0.163,-4.644,180.017,1.0,1658.5421525062447,1718.5892526519624,1866.2311068083764,17.644487550276235,-6.1703902247685924,-173.8296097752314,False,False,1443915.1094285138,1544829.6779610498,False
0.9,37.937821,128.181616,6988.565652000001,93.665,5.455,343.818,1.0,37.954075,128.181876,6937.364433600001,0.168,-4.736,180.018,1.0,1660.5123376594709,1718.8073089048548,1810.2552726144359,18.307274155199988,6.395666772273544,173.60433322772647,False,False,1447185.029110846,1545181.587495138,False
0.9166,37.938067,128.181573,6988.5616896,92.421,5.204,343.409,1.0,37.953819,128.181876,6934.9885176,0.173,-4.827,180.018,1.0,1665.276551290801,1722.6903911797724,1754.5245700655869,18.776655500477062,6.631528590694874,173.36847140930513,False,False,1455107.3746328077,1551840.0970776808,False
0.9333,37.938311,128.181528,6988.5086544000005,91.429,4.933,344.923,1.0,37.953563,128.181876,6932.569015200001,0.179,-4.919,180.019,1.0,1643.5824688348996,1712.5937003378792,1699.0409892977011,17.478243293719732,6.880469097785823,173.11953090221417,False,False,1419215.5243263836,1534473.869151406,False
0.95,37.938555,128.181482,6988.399536,90.336,4.625,348.04,1.0,37.953307,128.181876,6930.105012,0.184,-5.01,180.019,1.0,1644.3571998018979,1712.821185662786,1643.5836643752064,14.744736276139559,7.1418862027632555,172.85811379723674,False,False,1420488.0885798836,1534839.321343566,False
0.9666,37.938799,128.181438,6988.2300672,88.711,4.35,351.427,1.0,37.953051,128.181876,6927.5971176,0.189,-5.102,180.02,1.0,1652.7588172484789,1723.3691612745301,1588.1493764247327,11.909583330266347,7.417118872818054,172.58288112718196,False,False,1434336.9803848024,1552937.1532893507,False
